run_id,class_id,class_name,precision,recall,f1
deeplab_K50_N4_remove-unknown,6,Water,0.9883214519114206,0.7960269371092431,0.8818126584306822
deeplab_K50_N4_remove-unknown,7,Permanent,0.7989655706977465,0.6568256704714502,0.7209565242825369
deeplab_K100_N2_no-remove,0,Unknown,0.0,0.0,0.0
deeplab_K100_N2_no-remove,1,Artificial,0.8622354657104104,0.8735728740176009,0.8678671448007593
deeplab_K100_N2_no-remove,2,Woodland,0.7839832610712052,0.8587916273636176,0.8196841397334137
deeplab_K100_N2_no-remove,3,Arable,0.8004434496127033,0.8197482951550459,0.8099808622122029
deeplab_K100_N2_no-remove,4,Frygana,0.6073346875075697,0.6449658609006255,0.6255848727065344
deeplab_K100_N2_no-remove,5,Bareland,0.6008523148415447,0.5769727555793972,0.5886704647346105
deeplab_K100_N2_no-remove,6,Water,0.9922718558472648,0.80275317828959,0.887507829540356
deeplab_K100_N2_no-remove,7,Permanent,0.8862431759156199,0.6199155625379436,0.7295325823455144
deeplab_K100_N2_remove-unknown,0,Unknown,0.0,0.0,0.0
deeplab_K100_N2_remove-unknown,1,Artificial,0.8589339699532362,0.8741176055343781,0.866459274204129
deeplab_K100_N2_remove-unknown,2,Woodland,0.7799482342737892,0.8703897287191711,0.8226908030563866
deeplab_K100_N2_remove-unknown,3,Arable,0.8063962740620078,0.86672031601195,0.8354708065562695
deeplab_K100_N2_remove-unknown,4,Frygana,0.6570479955887701,0.6174230675946818,0.6366195368610905
deeplab_K100_N2_remove-unknown,5,Bareland,0.5878167982703099,0.595996799357474,0.5918785374313905
deeplab_K100_N2_remove-unknown,6,Water,0.9866952683877013,0.8039626159211817,0.8860052118735069
deeplab_K100_N2_remove-unknown,7,Permanent,0.8542928946221667,0.6632279950505373,0.746732341600096
deeplab_K100_N3_no-remove,0,Unknown,0.0,0.0,0.0
deeplab_K100_N3_no-remove,1,Artificial,0.867442960314911,0.8610205186126406,0.8642198075491239
deeplab_K100_N3_no-remove,2,Woodland,0.8044188973272928,0.8560582145105282,0.8294355881874855
deeplab_K100_N3_no-remove,3,Arable,0.7459712409138016,0.8932738575537773,0.8130042403276754
deeplab_K100_N3_no-remove,4,Frygana,0.6559967833156007,0.5827547938057195,0.617210548521236
deeplab_K100_N3_no-remove,5,Bareland,0.5990752196804812,0.5963893875324784,0.5977292864973643
deeplab_K100_N3_no-remove,6,Water,0.9916458642055117,0.8012745302881756,0.8863534337539503
deeplab_K100_N3_no-remove,7,Permanent,0.849237492882754,0.6393751071688425,0.7295132568472009
deeplab_K100_N3_remove-unknown,0,Unknown,0.25,3.825993801890041e-05,7.650816724685361e-05
deeplab_K100_N3_remove-unknown,1,Artificial,0.8655075027434794,0.8703891947856369,0.8679414846126682
deeplab_K100_N3_remove-unknown,2,Woodland,0.7819060950338536,0.8484297998710797,0.8138107414561132
deeplab_K100_N3_remove-unknown,3,Arable,0.7600164015046823,0.844710383672139,0.8001284106956547
deeplab_K100_N3_remove-unknown,4,Frygana,0.6040288491481106,0.5859254305054351,0.5948394312726898
deeplab_K100_N3_remove-unknown,5,Bareland,0.6019515312781296,0.570159402786477,0.5856243050131398
deeplab_K100_N3_remove-unknown,6,Water,0.9871821935091138,0.80799273533808,0.8886443632796187
deeplab_K100_N3_remove-unknown,7,Permanent,0.8460679476130943,0.6460717115964798,0.7326667630171723
deeplab_K100_N4_no-remove,0,Unknown,0.0,0.0,0.0
deeplab_K100_N4_no-remove,1,Artificial,0.8467909470181053,0.872336345239776,0.8593738500116773
deeplab_K100_N4_no-remove,2,Woodland,0.7690885043423198,0.8540866034415293,0.8093620771655278
deeplab_K100_N4_no-remove,3,Arable,0.8041942153900952,0.8856764180120466,0.8429708617857387
deeplab_K100_N4_no-remove,4,Frygana,0.6618702715544741,0.6183586773579497,0.6393750524836298
deeplab_K100_N4_no-remove,5,Bareland,0.6154217721815444,0.5670007162486551,0.5902198055877912
deeplab_K100_N4_no-remove,6,Water,0.9907561707216657,0.8122197399508189,0.8926483316552736
deeplab_K100_N4_no-remove,7,Permanent,0.7988600520170439,0.6690209054550679,0.7281981179900678
deeplab_K100_N4_remove-unknown,0,Unknown,0.0,0.0,0.0
deeplab_K100_N4_remove-unknown,1,Artificial,0.8568253732485338,0.8958621582192103,0.87590904175898
deeplab_K100_N4_remove-unknown,2,Woodland,0.7791131186260626,0.8720447100143854,0.8229636947063979
deeplab_K100_N4_remove-unknown,3,Arable,0.776306687325829,0.7962738222202032,0.7861634929082116
deeplab_K100_N4_remove-unknown,4,Frygana,0.595512627937049,0.569649642439788,0.5822940961914318
deeplab_K100_N4_remove-unknown,5,Bareland,0.6088895115458881,0.5991434984701048,0.6039771911936861
deeplab_K100_N4_remove-unknown,6,Water,0.9832545340105684,0.8097164853179897,0.8880873108034559
deeplab_K100_N4_remove-unknown,7,Permanent,0.7737490055419964,0.6648175696655405,0.7151590232399887
